brand,canonical_id,monthly_qty,current_unit_price
Glow Theory,PKG-DROP-30-AMB,8000,14.20
Glow Theory,PKG-PUMP-20410,5000,6.40
Glow Theory,PKG-MAILER-M,6000,9.80
Glow Theory,ING-HA-9,12,9800
DermaLab,PKG-DROP-30-AMB,6000,14.20
DermaLab,PKG-MAILER-M,4000,9.80
DermaLab,ING-HA-9,8,9800
DermaLab,ING-VITC-SAP,5,4200
VitalRoots,PKG-JAR-500-HDPE,10000,28.50
VitalRoots,PKG-MAILER-M,9000,9.60
FitFuel,PKG-JAR-500-HDPE,15000,28.50
FitFuel,PKG-MAILER-M,12000,9.50
PureSip,PKG-MAILER-M,7000,9.90
Munchbox,PKG-MAILER-M,10000,9.70
